Octopus_Gene	Human_Homolog	Percentage	E-value_octo2human
Ocbimv22033279m	SCYGR2	62.5	24.0
Ocbimv22027873m	TXNDC2	46.154	24.9
Ocbimv22028565m	HRNR	53.846	25.8
Ocbimv22013006m	ACTR6	37.5	25.8
Ocbimv22037280m	MEGF10	87.5	26.3
Ocbimv22009522m	DLK2	40.0	26.3
Ocbimv22012023m	TRPV1	34.375	26.3
Ocbimv22033343m	PRB2	33.333	26.3
Ocbimv22028216m	ZNF91	44.0	26.7
Ocbimv22028217m	ZNF91	44.0	26.7
Ocbimv22028218m	ZNF91	44.0	26.7
Ocbimv22029850m	GZF1	42.857	26.7
Ocbimv22038260m	LRP1B	36.364	26.7
Ocbimv22001374m	NOTCH2NLB	29.412	26.7
Ocbimv22001375m	NOTCH2NLB	29.412	26.7
Ocbimv22004586m	MEGF11	66.667	27.2
Ocbimv22038436m	CRB1	42.857	27.2
Ocbimv22025803m	LTBP1	33.333	27.2
Ocbimv22033978m	TIE1	61.538	27.6
Ocbimv22038839m	ANKRD23	52.632	27.6
Ocbimv22009523m	MEGF10	39.286	27.6
Ocbimv22009521m	NOTCH2	38.462	27.6
Ocbimv22037279m	LTBP1	32.353	27.6
Ocbimv22007402m	LTBP1	32.258	27.6
Ocbimv22017027m	DMBT1	31.579	27.6
Ocbimv22013683m	TNXB	30.769	27.6
Ocbimv22038432m	SNED1	30.0	27.6
Ocbimv22038433m	SNED1	30.0	27.6
Ocbimv22038435m	SNED1	30.0	27.6
Ocbimv22033974m	FBN1	26.471	27.6
Ocbimv22021727m	FBN2	25.0	27.6
Ocbimv22003956m	MAP3K9	71.429	27.9
Ocbimv22020564m	MEGF11	66.667	27.9
Ocbimv22020565m	MEGF11	66.667	28.0
Ocbimv22020567m	MEGF11	66.667	28.0
Ocbimv22008700m	ZNF224	52.381	28.0
Ocbimv22020566m	MEGF11	66.667	28.1
Ocbimv22020568m	MEGF11	66.667	28.1
Ocbimv22002739m	MUC2	62.5	28.1
Ocbimv22021494m	MEGF10	57.143	28.1
Ocbimv22001914m	CD248	56.25	28.1
Ocbimv22038765m	SELE	47.059	28.1
Ocbimv22033381m	ZNF354B	42.857	28.1
Ocbimv22009998m	COL13A1	42.308	28.1
Ocbimv22005307m	CNBP	40.0	28.1
Ocbimv22019262m	MATN3	40.0	28.1
Ocbimv22001331m	JAG2	38.095	28.1
Ocbimv22008566m	PRB1	37.5	28.1
Ocbimv22029003m	NELL2	36.364	28.1
Ocbimv22029536m	TEP1	33.333	28.1
Ocbimv22039269m	DLL4	28.947	28.1
Ocbimv22030805m	PAK5	43.478	28.5
Ocbimv22001587m	MUC2	100.0	28.6
Ocbimv22021271m	ARID1B	66.667	28.6
Ocbimv22023196m	WIF1	64.286	28.6
Ocbimv22000996m	TNXB	61.538	28.6
Ocbimv22020569m	MEGF11	61.538	28.6
Ocbimv22020577m	WIF1	60.0	28.6
Ocbimv22019264m	SUSD1	58.824	28.6
Ocbimv22024519m	CUBN	56.25	28.6
Ocbimv22024520m	CUBN	56.25	28.6
Ocbimv22019579m	MUC21	53.846	28.6
Ocbimv22019580m	MUC21	53.846	28.6
Ocbimv22019581m	MUC21	53.846	28.6
Ocbimv22019582m	MUC21	53.846	28.6
Ocbimv22019583m	MUC21	53.846	28.6
Ocbimv22019584m	MUC21	53.846	28.6
Ocbimv22019585m	MUC21	53.846	28.6
Ocbimv22019586m	MUC21	53.846	28.6
Ocbimv22009515m	MEGF11	52.941	28.6
Ocbimv22013856m	DDX51	44.444	28.6
Ocbimv22006321m	MEGF11	43.75	28.6
Ocbimv22020146m	MEGF6	42.105	28.6
Ocbimv22018982m	MEGF11	33.333	28.6
Ocbimv22018984m	MEGF11	33.333	28.6
Ocbimv22020575m	FBLN5	32.0	28.6
Ocbimv22019259m	CRB2	30.303	28.6
Ocbimv22028799m	DSPP	28.571	28.6
Ocbimv22028800m	DSPP	28.571	28.6
Ocbimv22028801m	DSPP	28.571	28.6
Ocbimv22028802m	DSPP	28.571	28.6
Ocbimv22028803m	DSPP	28.571	28.6
Ocbimv22028804m	DSPP	28.571	28.6
Ocbimv22028805m	DSPP	28.571	28.6
Ocbimv22028806m	DSPP	28.571	28.6
Ocbimv22028807m	DSPP	28.571	28.6
Ocbimv22028808m	DSPP	28.571	28.6
Ocbimv22028809m	DSPP	28.571	28.6
Ocbimv22028810m	DSPP	28.571	28.6
Ocbimv22028811m	DSPP	28.571	28.6
Ocbimv22028812m	DSPP	28.571	28.6
Ocbimv22028813m	DSPP	28.571	28.6
Ocbimv22028814m	DSPP	28.571	28.6
Ocbimv22028815m	DSPP	28.571	28.6
Ocbimv22014467m	PNMA6E	23.077	28.6
Ocbimv22020573m	ADGRE1	34.615	28.9
Ocbimv22028134m	MEGF10	61.538	29.0
Ocbimv22032539m	TNXB	61.538	29.0
Ocbimv22019588m	MUC21	60.0	29.0
Ocbimv22019589m	MUC21	60.0	29.0
Ocbimv22019590m	MUC21	60.0	29.0
Ocbimv22019591m	MUC21	60.0	29.0
Ocbimv22030441m	MEGF6	55.556	29.0
Ocbimv22017242m	DLL4	50.0	29.0
Ocbimv22009512m	MEGF11	45.455	29.0
Ocbimv22016718m	MEGF11	43.75	29.0
Ocbimv22024689m	TRPV1	42.308	29.0
Ocbimv22039860m	FAT3	41.667	29.0
Ocbimv22039861m	FAT3	41.667	29.0
Ocbimv22039863m	FAT3	41.667	29.0
Ocbimv22039864m	FAT3	41.667	29.0
Ocbimv22016504m	KRTAP5-4	40.0	29.0
Ocbimv22018092m	TENM3	39.13	29.0
Ocbimv22026472m	CRB1	38.462	29.0
Ocbimv22012375m	LRP1B	37.931	29.0
Ocbimv22022206m	NID2	37.037	29.0
Ocbimv22039941m	PRB1	37.037	29.0
Ocbimv22005658m	FBN3	33.333	29.0
Ocbimv22020563m	FBN2	28.571	29.0
Ocbimv22011512m	NECTIN3	28.125	29.0
Ocbimv22036830m	FAT1	28.0	29.0
Ocbimv22033222m	ZNF521	32.258	29.3
Ocbimv22017281m	MUSK	30.556	29.3
Ocbimv22001345m	FGFR2	35.714	29.4
Ocbimv22004361m	SCYGR10	75.0	29.5
Ocbimv22037828m	NOTCH1	61.538	29.5
Ocbimv22033973m	FBN1	56.25	29.5
Ocbimv22033976m	TNC	56.25	29.5
